type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
pistol,Hornady,Hornady .430 180gr Frontier® Lead 11058,11058,0.43,180,0.139,44 Cal .430 180 gr Cowboy™,Frontier® Lead,0.114,,
pistol,Hornady,Hornady .430 180gr XTP® 44050,44050,0.43,180,0.139,44 Cal .430 180 gr HP XTP®,XTP®,0.138,,
pistol,Hornady,Hornady .430 200gr XTP® 44100,44100,0.43,200,0.155,44 Cal .430 200 gr HP XTP®,XTP®,0.17,,
pistol,Hornady,Hornady .430 225gr FTX® 44105,44105,0.43,225,0.174,44 Cal .430 225 gr FTX® (44 Mag),FTX®,0.15,,
pistol,Hornady,Hornady .430 240gr Frontier® Lead 11108,11108,0.43,240,0.185,44 Cal .430 240 gr SWC,Frontier® Lead,0.182,,
pistol,Hornady,Hornady .430 240gr Frontier® Lead 11118,11118,0.43,240,0.185,44 Cal .430 240 gr SWC HP,Frontier® Lead,0.204,,
pistol,Hornady,Hornady .430 240gr XTP® 44200,44200,0.43,240,0.185,44 Cal .430 240 gr HP XTP®,XTP®,0.205,,
pistol,Hornady,Hornady .430 300gr XTP® 44280,44280,0.43,300,0.232,44 Cal .430 300 gr HP XTP®,XTP®,0.245,,
pistol,Hornady,Hornady .451 185gr XTP® 45100,45100,0.451,185,0.13,45 Cal .451 185 gr HP XTP®,XTP®,0.139,,
pistol,Hornady,Hornady .451 185gr HAP® 45105B,45105B,0.451,185,0.13,45 Cal .451 185 gr HAP Bulk box of 1,900,HAP®,0.139,,
pistol,Hornady,Hornady .451 200gr XTP® 45140,45140,0.451,200,0.14,45 Cal .451 200 gr HP XTP®,XTP®,0.151,,
pistol,Hornady,Hornady .451 200gr FMJ 45157B,45157B,0.451,200,0.14,45 Cal .451 200 gr FMJ-CT Bulk box of 1,700,FMJ,0.115,,
pistol,Hornady,Hornady .451 200gr HAP® 45159B,45159B,0.451,200,0.14,45 Cal .451 200 gr HAP Bulk box of 1,800,HAP®,0.151,,
pistol,Hornady,Hornady .451 230gr XTP® 45160,45160,0.451,230,0.162,45 Cal .451 230 gr HP XTP®,XTP®,0.188,,
pistol,Hornady,Hornady .451 230gr HAP® 45161B,45161B,0.451,230,0.162,45 Cal .451 230 gr HAP® Bulk Box of 1,500,HAP®,0.188,,
pistol,Hornady,Hornady .451 230gr FMJ 45177,45177,0.451,230,0.162,45 Cal .451 230 gr FMJ-RN,FMJ,0.184,,
pistol,Hornady,Hornady .451 230gr HAP® 451611,451611,0.451,230,0.162,45 Cal .451 230 gr HAP® Box of 500,HAP®,0.188,,
pistol,Hornady,Hornady .451 230gr FMJ 451771,451771,0.451,230,0.162,45 Cal .451 230 gr FMJ-RN Box of 500,FMJ,0.184,,
pistol,Hornady,Hornady .452 200gr Frontier® Lead 12108,12108,0.452,200,0.14,45 Cal .452 200 gr SWC,Frontier® Lead,0.07,,
pistol,Hornady,Hornady .452 200gr Frontier® Lead 12208,12208,0.452,200,0.14,45 Cal .452 200 gr Lead C/T,Frontier® Lead,0.081,,
pistol,Hornady,Hornady .452 200gr FTX® 45215,45215,0.452,200,0.149,45 Cal .452 200 gr FTX® (460 S&W),FTX®,0.145,,
pistol,Hornady,Hornady .452 225gr FTX® 45218,45218,0.452,225,0.157,45 Cal .452 225 gr FTX® (45 Colt),FTX®,0.145,,
pistol,Hornady,Hornady .452 230gr Frontier® Lead 12308,12308,0.452,230,0.162,45 Cal .452 230 gr LRN,Frontier® Lead,0.207,,
pistol,Hornady,Hornady .452 240gr XTP® 45220,45220,0.452,240,0.168,45 Cal .452 240 gr XTP® Mag,XTP®,0.16,,
pistol,Hornady,Hornady .452 250gr XTP® 45200,45200,0.452,250,0.175,45 Cal .452 250 gr HP XTP®,XTP®,0.146,,
pistol,Hornady,Hornady .452 300gr XTP® 45230,45230,0.452,300,0.21,45 Cal .452 300 gr HP XTP®,XTP®,0.18,,
pistol,Hornady,Hornady .452 300gr XTP® 45235,45235,0.452,300,0.21,45 Cal .452 300 gr XTP® Mag,XTP®,0.2,,
pistol,Hornady,Hornady .454 255gr Frontier® Lead 12458,12458,0.454,255,0.177,45 Cal .454 255 gr FP Cowboy™,Frontier® Lead,0.117,,
pistol,Hornady,Hornady .475 325gr XTP® 47500,47500,0.475,325,0.206,475 Cal .475 325 gr XTP® Mag,XTP®,0.15,,
pistol,Hornady,Hornady .500 300gr XTP® 50101,50101,0.5,300,0.171,50 AE .500 300 gr XTP® MAG,XTP®,0.12,,
pistol,Hornady,Hornady .500 300gr FTX® 50102,50102,0.5,300,0.171,50 Cal .500 300 gr FTX® (500 S&W),FTX®,0.2,,
pistol,Hornady,Hornady .500 350gr XTP® 50100,50100,0.5,350,0.192,500 S&W .500 350 gr XTP® Mag,XTP®,0.145,,
pistol,Hornady,Hornady .500 500gr Traditional 50105,50105,0.5,500,0.286,50 cal 500 gr InterLock® Flat Point,Traditional,0.185,,
rifle,Hornady,Hornady .172 20gr V-MAX® 21710,21710,0.172,20,0.097,17 Cal .172 20 gr V-MAX®,V-MAX®,0.185,,
rifle,Hornady,Hornady .172 25gr Varmint™ 1710,1710,0.172,25,0.121,17 Cal .172 25 gr HP,Varmint™,0.187,,
rifle,Hornady,Hornady .172 25gr V-MAX® 17105,17105,0.172,25,0.121,17 Cal .172 25 gr V-MAX®,V-MAX®,0.23,,
rifle,Hornady,Hornady .204 24gr NTX® 22000,22000,0.204,24,0.082,20 Cal .204 24 gr NTX®,NTX®,0.17,,
rifle,Hornady,Hornady .204 32gr V-MAX® 22004,22004,0.204,32,0.11,20 Cal .204 32 gr V-MAX®,V-MAX®,0.21,,
rifle,Hornady,Hornady .204 32gr V-MAX® 22406,22406,0.204,32,0.11,20 Cal .204 32 gr V-MAX®,V-MAX®,0.21,,
rifle,Hornady,Hornady .204 40gr V-MAX® 22006,22006,0.204,40,0.137,20 Cal .204 40 gr V-MAX®,V-MAX®,0.275,,
rifle,Hornady,Hornady .204 40gr V-MAX® 22606,22606,0.204,40,0.137,20 Cal .204 40 gr V-MAX®,V-MAX®,0.275,,
rifle,Hornady,Hornady .204 45gr Varmint™ 22008,22008,0.204,45,0.155,20 Cal .204 45 gr SP,Varmint™,0.245,,
rifle,Hornady,Hornady .224 35gr NTX® 22240,22240,0.224,35,0.1,22 Cal .224 35 gr NTX®,NTX®,0.177,,
rifle,Hornady,Hornady .224 35gr V-MAX® 22252,22252,0.224,35,0.1,22 Cal .224 35 gr V-MAX®,V-MAX®,0.109,,
rifle,Hornady,Hornady .224 40gr V-MAX® 22241,22241,0.224,40,0.114,22 Cal .224 40 gr V-MAX®,V-MAX®,0.2,,
