"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"pistol","Sierra","Sierra .4295 180gr Sports Master 8600","8600","0.4295","180","0.139",".44 Caliber (.4295) 180 gr. JHC","Sports Master","","","{"".130"": [1300, null], "".125"": [900, 1300] , "".140"": [0, 900]}"
"pistol","Sierra","Sierra .4295 210gr Sports Master 8620","8620","0.4295","210","0.163",".44 Caliber (.4295) 210 gr. JHC","Sports Master","","","{"".160"": [1200, null], "".175"": [900, 1200] , "".170"": [0, 900]}"
"pistol","Sierra","Sierra .4295 220gr Tournament Master 8605","8605","0.4295","220","0.17",".44 Caliber (.4295) 220 gr. FPJ Match","Tournament Master","","","{"".180"": [1300, null], "".185"": [1100, 1300] , "".200"": [900, 1100] , "".170"": [0, 900]}"
"pistol","Sierra","Sierra .4295 240gr Sports Master 8610","8610","0.4295","240","0.186",".44 Caliber (.4295) 240 gr. JHC","Sports Master","","","{"".185"": [1300, null], "".172"": [900, 1300] , "".171"": [0, 900]}"
"pistol","Sierra","Sierra .4295 250gr Tournament Master 8615","8615","0.4295","250","0.194",".44 Caliber (.4295) 250 gr. FPJ Match","Tournament Master","","","{"".213"": [1200, null], "".230"": [900, 1200] , "".195"": [0, 900]}"
"pistol","Sierra","Sierra .4295 300gr Sports Master 8630","8630","0.4295","300","0.232",".44 Caliber (.4295) 300 gr. JSP","Sports Master","","","{"".230"": [1200, null], "".250"": [900, 1200] , "".195"": [0, 900]}"
"pistol","Sierra","Sierra .4515 185gr Sports Master 8800","8800","0.4515","185","0.13",".45 Caliber (.4515) 185 gr. JHP","Sports Master","","","{"".100"": [1200, null], "".110"": [900, 1200] , "".135"": [0, 900]}"
"pistol","Sierra","Sierra .4515 185gr Tournament Master 8810","8810","0.4515","185","0.13",".45 Caliber (.4515) 185 gr. FPJ Match","Tournament Master","","","{"".110"": [1200, null], "".135"": [900, 1200] , "".135"": [0, 900]}"
"pistol","Sierra","Sierra .4515 200gr Tournament Master 8825","8825","0.4515","200","0.14",".45 Caliber (.4515) 200 gr. FPJ Match","Tournament Master","","","{"".120"": [1200, null], "".145"": [900, 1200] , "".150"": [0, 900]}"
"pistol","Sierra","Sierra .4515 200gr V-Crown 9820","9820","0.4515","200","0.14",".45 Caliber (.4515) 200 gr. V-Crown JHP Match","V-Crown","","","{"".118"": [1200, null], "".143"": [900, 1200] , "".148"": [0, 900]}"
"pistol","Sierra","Sierra .4515 230gr Sports Master 8805","8805","0.4515","230","0.161",".45 Caliber (.4515) 230 gr. JHP","Sports Master","","","{"".145"": [1300, null], "".169"": [1299, 900] , "".141"": [0, 900]}"
"pistol","Sierra","Sierra .4515 230gr Tournament Master 8815","8815","0.4515","230","0.161",".45 Caliber (.4515) 230 gr. FMJ Match","Tournament Master","","","{"".140"": [1100, null], "".200"": [900, 1100] , "".205"": [0, 900]}"
"pistol","Sierra","Sierra .4515 240gr Sports Master 8820","8820","0.4515","240","0.168",".45 Caliber (.4515) 240 gr. JHC","Sports Master","","","{"".150"": [1100, null], "".160"": [900, 1100] , "".170"": [0, 900]}"
"pistol","Sierra","Sierra .4515 300gr Sports Master 8830","8830","0.4515","300","0.21",".45 Caliber (.4515) 300 gr. JSP","Sports Master","","","{"".192"": [1400, null], "".121"": [1200, 1400] , "".240"": [900, 1200] , "".165"": [0, 900]}"
"pistol","Sierra","Sierra .5 350gr Sports Master 5350","5350","0.5","350","0.2","50 Caliber, 350 gr. JHP (50 bullets)","Sports Master","","","{"".155"": [1775, null], "".158"": [1620, 1775] , "".169"": [1470, 1620] , "".177"": [1300, 1470] , "".188"": [0, 1300]}"
"pistol","Sierra","Sierra .5 350gr Sports Master 5400","5400","0.5","350","0.229","50 Caliber, 400 grain JSP","Sports Master","","","{"".185"": [1600, null], "".198"": [1450, 1600] , "".212"": [1280, 1450] , "".227"": [1150, 1280] , "".234"": [1150, null]}"
"rifle","Sierra","Sierra .204 32gr BlitzKing 1032","1032","0.204","32","0.11",".20 Caliber (.204) 32 gr. BlitzKing","BlitzKing","","","{"".221"": [3950, null], "".218"": [3950, 3625] , "".204"": [3625, 3300] , "".189"": [3300, 2225] , "".179"": [2225, 1750]}"
"rifle","Sierra","Sierra .204 39gr BlitzKing 1039","1039","0.204","39","0.134",".20 Caliber (.204) 39 gr. BlitzKing","BlitzKing","","","{"".287"": [3600, null], "".270"": [3400, 3600] , "".255"": [2800, 3400] , "".236"": [2300, 2800] , "".210"": [1900, 2300]}"
"rifle","Sierra","Sierra .223 40gr Varminter 1100","1100","0.223","40","0.115",".22 Caliber (.223) 40 gr. Hornet","Varminter","","","{"".117"": [2800, null], "".123"": [2000, 2800] , "".136"": [0, 2000]}"
"rifle","Sierra","Sierra .223 45gr Varminter 1110","1110","0.223","45","0.129",".22 Caliber (.223) 45 gr. Hornet","Varminter","","","{"".132"": [2800, null], "".138"": [2000, 2800] , "".153"": [0, 2000]}"
"rifle","Sierra","Sierra .224 40gr Varminter 1200","1200","0.224","40","0.114",".22 Caliber (.224) 40 gr. Hornet","Varminter","","","{"".116"": [2800, null], "".122"": [2000, 2800] , "".135"": [0, 2000]}"
"rifle","Sierra","Sierra .224 40gr Varminter 1385","1385","0.224","40","0.114",".22 Caliber (.224) High Velocity 40 gr. HP","Varminter","","","{"".155"": [2400, null], "".160"": [2400, 2000] , "".165"": [0, 2000]}"
"rifle","Sierra","Sierra .224 40gr BlitzKing 1440","1440","0.224","40","0.114",".22 Caliber (.224) High Velocity 40 gr. BlitzKing","BlitzKing","","","{"".196"": [3000, null], "".182"": [2750, 3000] , "".177"": [2250, 2750] , "".171"": [0, 2250]}"
"rifle","Sierra","Sierra .224 45gr Varminter 1210","1210","0.224","45","0.128",".22 Caliber (.224) 45 gr. Hornet","Varminter","","","{"".131"": [2800, null], "".137"": [2000, 2800] , "".152"": [0, 2000]}"
"rifle","Sierra","Sierra .224 45gr Varminter 1310","1310","0.224","45","0.128",".22 Caliber (.224) 45 gr. SPT","Varminter","","","{"".210"": [3000, null], "".196"": [1800, 3000] , "".181"": [0, 1800]}"
"rifle","Sierra","Sierra .224 50gr Varminter 1320","1320","0.224","50","0.142",".22 Caliber (.224) High Velocity 50 gr. SMP","Varminter","","","{"".192"": [2800, null], "".190"": [1800, 2800] , "".190"": [0, 1800]}"
"rifle","Sierra","Sierra .224 50gr Varminter 1330","1330","0.224","50","0.142",".22 Caliber (.224) High Velocity 50 gr. SPT","Varminter","","","{"".222"": [2800, null], "".217"": [1800, 2800] , "".207"": [0, 1800]}"
"rifle","Sierra","Sierra .224 50gr Varminter 1340","1340","0.224","50","0.142",".22 Caliber (.224) Medium Velocity 50 gr. Spitzer Blitz","Varminter","","","{"".222"": [2800, null], "".217"": [1800, 2800] , "".207"": [0, 1800]}"
"rifle","Sierra","Sierra .224 50gr BlitzKing 1450","1450","0.224","50","0.142",".22 Caliber (.224) High Velocity 50 gr. BlitzKing","BlitzKing","","","{"".248"": [3300, null], "".243"": [2650, 3300] , "".232"": [2050, 2650] , "".222"": [1800, 2050] , "".203"": [0, 1800]}"
"rifle","Sierra","Sierra .224 52gr MatchKing 1410","1410","0.224","52","0.148",".22 Caliber (.224) 52 gr. HPBT MatchKing","MatchKing","","","{"".225"": [3000, null], "".218"": [2200, 3000] , "".212"": [0, 2200]}"
"rifle","Sierra","Sierra .224 53gr MatchKing 1400","1400","0.224","53","0.151",".22 Caliber (.224) 53 gr. HP Match","MatchKing","","","{"".224"": [2800, null], "".217"": [1800, 2800] , "".209"": [0, 1800]}"
"rifle","Sierra","Sierra .224 55gr Varminter 1345","1345","0.224","55","0.157",".22 Caliber (.224) Medium Velocity 55 gr. Spitzer Blitz","Varminter","","","{"".237"": [2900, null], "".239"": [1800, 2900] , "".230"": [0, 1800]}"
"rifle","Sierra","Sierra .224 55gr Varminter 1350","1350","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. SMP","Varminter","","","{"".204"": [2800, null], "".212"": [1800, 2800] , "".220"": [0, 1800]}"
"rifle","Sierra","Sierra .224 55gr GameKing 1355","1355","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. FMJBT","GameKing","","","{"".272"": [3000, null], "".245"": [2400, 3000] , "".235"": [0, 2400]}"
